"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","Deve buscar o usuário criado pelo email","Testes da API de Usuários","Sat May 31 12:25:48 GMT 2025","passed","Sat May 31 12:25:48 GMT 2025","","","",""
"","130","Deve deletar usuário por ID","Testes da API de Usuários - Deletar Usuário","Sat May 31 12:25:44 GMT 2025","passed","Sat May 31 12:25:45 GMT 2025","","","",""
"","56","Deve buscar o usuário criado pelo password","Testes da API de Usuários","Sat May 31 12:25:48 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","144","Deve falhar ao criar produto por não ser admin","Testes da API de Produtos","Sat May 31 12:25:36 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","63","Deve atualizar apenas o preco do produto","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","181","Deve criar um novo produto","Testes da API de Produtos","Sat May 31 12:25:35 GMT 2025","passed","Sat May 31 12:25:35 GMT 2025","","","",""
"","55","Deve buscar pelo ID do produto cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","61","Não deve permitir criar usuário com email sem @","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","99","Tentar criar produto com nome existente","Testes da API de Produtos","Sat May 31 12:25:36 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","57","Deve buscar por ID do usuário e validar nome","Testes da API de Usuários","Sat May 31 12:25:52 GMT 2025","passed","Sat May 31 12:25:52 GMT 2025","","","",""
"","54","Deve buscar por ID do usuário e validar email","Testes da API de Usuários","Sat May 31 12:25:52 GMT 2025","passed","Sat May 31 12:25:52 GMT 2025","","","",""
"","59","Não deve permitir criar usuário com administrador vazio","Testes da API de Usuários","Sat May 31 12:26:18 GMT 2025","passed","Sat May 31 12:26:18 GMT 2025","","","",""
"","53","Tentar buscar produto passando números no campo _id","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","54","Não deve permitir criar usuário com nome usando boolean = true","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","50","Buscar o usuário pelo administrador inválido","Testes da API de Usuários","Sat May 31 12:25:49 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","247","Não deve adicionar produto duplicado","Testes da API de Produtos","Sat May 31 12:25:13 GMT 2025","passed","Sat May 31 12:25:14 GMT 2025","","","",""
"","54","Tentar fazer login com email sem dominio","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","153","Tentar concluir a compra com usuário que não tem produtos no carrinho","Testes da API de Carrinho - Concluir Compra","Sat May 31 12:24:58 GMT 2025","passed","Sat May 31 12:24:58 GMT 2025","","","",""
"","191","Deve falhar ao adicionar carrinho com token inválido","Testes da API de Produtos","Sat May 31 12:25:14 GMT 2025","passed","Sat May 31 12:25:14 GMT 2025","","","",""
"","61","Deve buscar pelo preço do produto cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","56","Não deve permitir criar usuário com password usando números","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:20 GMT 2025","","","",""
"","55","Tentar buscar produto com ID inválido","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","128","Deve buscar por ID do usuário e validar propriedade do responde body","Testes da API de Usuários","Sat May 31 12:25:52 GMT 2025","passed","Sat May 31 12:25:52 GMT 2025","","","",""
